一级模块,二级模块,三级功能点,功能说明,优先级,备注
六、数据可视化模块,可视化大屏,综合运营大屏,城市路灯整体运营状况总览,高,
六、数据可视化模块,可视化大屏,实时数据展示,在线率、亮灯率、故障率实时显示,高,
六、数据可视化模块,可视化大屏,能耗数据展示,总能耗、节能数据实时展示,高,
六、数据可视化模块,可视化大屏,告警数据展示,当日告警、未处理告警统计,高,
六、数据可视化模块,可视化大屏,运维数据展示,工单数量、完成率、响应时间统计,高,
六、数据可视化模块,可视化大屏,地图总览,全域路灯GIS地图总览,高,
六、数据可视化模块,统计报表,设备统计,设备总数、在线率、故障率统计,高,
六、数据可视化模块,统计报表,运维统计,工单统计、巡检统计、人员绩效,高,
六、数据可视化模块,统计报表,能耗统计,能耗趋势、节能分析、电费统计,高,
六、数据可视化模块,统计报表,故障分析,故障类型、故障率、故障趋势分析,高,
六、数据可视化模块,图表展示,柱状图/折线图/饼图,多种图表类型数据展示,高,
六、数据可视化模块,图表展示,数据钻取,支持从汇总数据钻取到明细数据,中,
七、APP移动端模块,移动端功能,设备监控,手机查看设备状态、远程控制,高,
七、APP移动端模块,移动端功能,告警接收,实时接收故障告警推送,高,
七、APP移动端模块,移动端功能,工单处理,接单、处理、完工、拍照上传,高,
七、APP移动端模块,移动端功能,巡检打卡,扫码打卡、巡检记录上传,高,
七、APP移动端模块,移动端功能,离线功能,断网时本地存储数据，联网后自动同步,高,
七、APP移动端模块,移动端功能,扫码报修,扫描设备二维码快速报修,中,
七、APP移动端模块,移动端功能,导航功能,导航到故障设备位置,高,
七、APP移动端模块,移动端功能,语音播报,新工单、新告警语音播报,中,
七、APP移动端模块,微信小程序,小程序版功能,无需安装APP，微信小程序实现核心功能,中,
七、APP移动端模块,微信小程序,扫码查询,扫码查询设备信息、历史维修记录,中,
八、系统管理模块,用户管理,用户账号管理,用户账号创建、编辑、删除、启用禁用,高,
八、系统管理模块,用户管理,角色权限管理,多角色、细粒度权限控制,高,
八、系统管理模块,用户管理,组织机构管理,多级组织机构、数据权限隔离,高,
八、系统管理模块,系统设置,系统参数配置,系统基础参数配置,高,
八、系统管理模块,系统设置,字典管理,系统数据字典管理,中,
八、系统管理模块,日志管理,操作日志,所有用户操作日志记录,高,
八、系统管理模块,日志管理,登录日志,用户登录登出日志,高,
八、系统管理模块,日志管理,系统日志,系统运行日志、错误日志,高,
八、系统管理模块,数据管理,数据备份,自动数据备份、手动备份,高,
八、系统管理模块,数据管理,数据恢复,数据恢复功能,高,
八、系统管理模块,数据管理,数据导出,数据批量导出功能,高,
九、高级功能模块,AI智能分析,AI故障预测,基于大数据和AI算法预测设备故障,高,华为、阿里、腾讯云
九、高级功能模块,AI智能分析,AI节能优化,AI算法自动优化照明策略，最大化节能,高,
九、高级功能模块,AI智能分析,异常用电检测,AI检测偷电、漏电等异常用电行为,中,
九、高级功能模块,AI智能分析,图像识别,摄像头识别路灯不亮、灯罩破损,中,结合视频监控
九、高级功能模块,第三方集成,城市大脑对接,对接城市大脑、智慧城市管理平台,高,
九、高级功能模块,第三方集成,公安交警对接,对接公安天网、交警信号系统,中,
九、高级功能模块,第三方集成,城管平台对接,对接数字城管平台,中,
九、高级功能模块,第三方集成,气象对接,对接气象系统，极端天气预警联动,中,
九、高级功能模块,第三方集成,支付系统对接,支持电费支付、运维费用结算,低,
九、高级功能模块,多租户支持,多租户架构,SaaS化多租户隔离部署,高,平台型厂商
九、高级功能模块,多租户支持,租户自定义配置,每个租户独立配置、独立数据,高,
九、高级功能模块,API开放能力,RESTful API,提供标准REST API接口,高,
九、高级功能模块,API开放能力,Webhook推送,数据变更、告警事件Webhook推送,中,
九、高级功能模块,API开放能力,API权限控制,API调用权限、频次控制,中,
十、信息安全模块,网络安全,传输加密,HTTPS、MQTT TLS加密传输,高,
十、信息安全模块,网络安全,设备身份认证,设备接入双向认证,高,
十、信息安全模块,网络安全,防火墙,DDoS防护、入侵检测,高,
十、信息安全模块,数据安全,数据加密存储,敏感数据加密存储,高,
十、信息安全模块,数据安全,数据脱敏,数据展示脱敏处理,中,
十、信息安全模块,数据安全,数据完整性,数据完整性校验,高,
十、信息安全模块,访问安全,登录认证,用户名密码、短信验证码、双因素认证,高,
十、信息安全模块,访问安全,会话管理,会话超时、强制下线,中,
十、信息安全模块,访问安全,IP白名单,指定IP才能访问系统,中,
主流厂商代表,,,,,华为OceanConnect、阿里云IoT、腾讯云IoT、顺舟智能、三仟智慧、方大智控、海康威视、大华股份、中智信通、洲明科技、名家汇
